0.2654,4.0887,0.61
0.3262,4.9033,0.44
0.3728,5.3263,0.45
0.3813,6.1566,0.57
0.4228,5.8276,0.44
0.4286,6.8459,0.49
0.4708,6.3289,0.47
0.4772,7.5352,0.49
0.5223,6.7989,0.51
0.5259,8.1932,0.55
0.5717,7.2375,0.59
0.5753,8.8355,0.63
0.6289,7.6762,0.63
0.6332,9.5091,0.68
0.7026,9.2428,0.64
